"forecast_date","epidemic_week","forecast_1_wk_ahead_start","forecast_1_wk_ahead_end"
2021-02-01,"2021-ew5",2021-01-31,2021-02-06
2021-02-08,"2021-ew6",2021-02-07,2021-02-13
2021-02-15,"2021-ew7",2021-02-14,2021-02-20
2021-02-22,"2021-ew8",2021-02-21,2021-02-27
2021-03-01,"2021-ew9",2021-02-28,2021-03-06
2021-03-08,"2021-ew10",2021-03-07,2021-03-13
2021-03-15,"2021-ew11",2021-03-14,2021-03-20
2021-03-22,"2021-ew12",2021-03-21,2021-03-27
2021-03-29,"2021-ew13",2021-03-28,2021-04-03
2021-04-05,"2021-ew14",2021-04-04,2021-04-10
2021-04-12,"2021-ew15",2021-04-11,2021-04-17
2021-04-19,"2021-ew16",2021-04-18,2021-04-24
2021-04-26,"2021-ew17",2021-04-25,2021-05-01
2021-05-03,"2021-ew18",2021-05-02,2021-05-08
2021-05-10,"2021-ew19",2021-05-09,2021-05-15
2021-05-17,"2021-ew20",2021-05-16,2021-05-22
2021-05-24,"2021-ew21",2021-05-23,2021-05-29
2021-05-31,"2021-ew22",2021-05-30,2021-06-05
2021-06-07,"2021-ew23",2021-06-06,2021-06-12
2021-06-14,"2021-ew24",2021-06-13,2021-06-19
2021-06-21,"2021-ew25",2021-06-20,2021-06-26
2021-06-28,"2021-ew26",2021-06-27,2021-07-03
2021-07-05,"2021-ew27",2021-07-04,2021-07-10
2021-07-12,"2021-ew28",2021-07-11,2021-07-17
2021-07-19,"2021-ew29",2021-07-18,2021-07-24
2021-07-26,"2021-ew30",2021-07-25,2021-07-31
2021-08-02,"2021-ew31",2021-08-01,2021-08-07
2021-08-09,"2021-ew32",2021-08-08,2021-08-14
2021-08-16,"2021-ew33",2021-08-15,2021-08-21
2021-08-23,"2021-ew34",2021-08-22,2021-08-28
2021-08-30,"2021-ew35",2021-08-29,2021-09-04
2021-09-06,"2021-ew36",2021-09-05,2021-09-11
2021-09-13,"2021-ew37",2021-09-12,2021-09-18
2021-09-20,"2021-ew38",2021-09-19,2021-09-25
2021-09-27,"2021-ew39",2021-09-26,2021-10-02
2021-10-04,"2021-ew40",2021-10-03,2021-10-09
2021-10-11,"2021-ew41",2021-10-10,2021-10-16
2021-10-18,"2021-ew42",2021-10-17,2021-10-23
2021-10-25,"2021-ew43",2021-10-24,2021-10-30
2021-11-01,"2021-ew44",2021-10-31,2021-11-06
2021-11-08,"2021-ew45",2021-11-07,2021-11-13
2021-11-15,"2021-ew46",2021-11-14,2021-11-20
2021-11-22,"2021-ew47",2021-11-21,2021-11-27
2021-11-29,"2021-ew48",2021-11-28,2021-12-04
2021-12-06,"2021-ew49",2021-12-05,2021-12-11
2021-12-13,"2021-ew50",2021-12-12,2021-12-18
2021-12-20,"2021-ew51",2021-12-19,2021-12-25
2021-12-27,"2021-ew52",2021-12-26,2022-01-01
2022-01-03,"2022-ew1",2022-01-02,2022-01-08
2022-01-10,"2022-ew2",2022-01-09,2022-01-15
2022-01-17,"2022-ew3",2022-01-16,2022-01-22
2022-01-24,"2022-ew4",2022-01-23,2022-01-29
2022-01-31,"2022-ew5",2022-01-30,2022-02-05
2022-02-07,"2022-ew6",2022-02-06,2022-02-12
2022-02-14,"2022-ew7",2022-02-13,2022-02-19
2022-02-21,"2022-ew8",2022-02-20,2022-02-26
2022-02-28,"2022-ew9",2022-02-27,2022-03-05
2022-03-07,"2022-ew10",2022-03-06,2022-03-12
2022-03-14,"2022-ew11",2022-03-13,2022-03-19
2022-03-21,"2022-ew12",2022-03-20,2022-03-26
2022-03-28,"2022-ew13",2022-03-27,2022-04-02
2022-04-04,"2022-ew14",2022-04-03,2022-04-09
2022-04-11,"2022-ew15",2022-04-10,2022-04-16
2022-04-18,"2022-ew16",2022-04-17,2022-04-23
2022-04-25,"2022-ew17",2022-04-24,2022-04-30
2022-05-02,"2022-ew18",2022-05-01,2022-05-07
2022-05-09,"2022-ew19",2022-05-08,2022-05-14
2022-05-16,"2022-ew20",2022-05-15,2022-05-21
2022-05-23,"2022-ew21",2022-05-22,2022-05-28
2022-05-30,"2022-ew22",2022-05-29,2022-06-04
2022-06-06,"2022-ew23",2022-06-05,2022-06-11
2022-06-13,"2022-ew24",2022-06-12,2022-06-18
2022-06-20,"2022-ew25",2022-06-19,2022-06-25
2022-06-27,"2022-ew26",2022-06-26,2022-07-02
2022-07-04,"2022-ew27",2022-07-03,2022-07-09
2022-07-11,"2022-ew28",2022-07-10,2022-07-16
2022-07-18,"2022-ew29",2022-07-17,2022-07-23
2022-07-25,"2022-ew30",2022-07-24,2022-07-30
2022-08-01,"2022-ew31",2022-07-31,2022-08-06
2022-08-08,"2022-ew32",2022-08-07,2022-08-13
2022-08-15,"2022-ew33",2022-08-14,2022-08-20
2022-08-22,"2022-ew34",2022-08-21,2022-08-27
2022-08-29,"2022-ew35",2022-08-28,2022-09-03
2022-09-05,"2022-ew36",2022-09-04,2022-09-10
2022-09-12,"2022-ew37",2022-09-11,2022-09-17
2022-09-19,"2022-ew38",2022-09-18,2022-09-24
2022-09-26,"2022-ew39",2022-09-25,2022-10-01
2022-10-03,"2022-ew40",2022-10-02,2022-10-08
2022-10-10,"2022-ew41",2022-10-09,2022-10-15
2022-10-17,"2022-ew42",2022-10-16,2022-10-22
2022-10-24,"2022-ew43",2022-10-23,2022-10-29
2022-10-31,"2022-ew44",2022-10-30,2022-11-05
2022-11-07,"2022-ew45",2022-11-06,2022-11-12
2022-11-14,"2022-ew46",2022-11-13,2022-11-19
2022-11-21,"2022-ew47",2022-11-20,2022-11-26
2022-11-28,"2022-ew48",2022-11-27,2022-12-03
2022-12-05,"2022-ew49",2022-12-04,2022-12-10
2022-12-12,"2022-ew50",2022-12-11,2022-12-17
2022-12-19,"2022-ew51",2022-12-18,2022-12-24
2022-12-26,"2022-ew52",2022-12-25,2022-12-31
2023-01-02,"2023-ew1",2023-01-01,2023-01-07
